ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
FrenchBelgianNumberToWordsConverter;0;6;26;0;7;2;0;1;6;1;0;0;0;0;0;0;0;0;0;0
FrenchNumberToWordsConverter;0;7;33;0;8;2;0;1;9;1;0;0;0;0;0;0;0;0;0;0
FrenchNumberToWordsConverterBase;0;27;162;0;35;1;3;4;49;26;0;0;0;0;0;0;0;0;0;0
FrenchSwissNumberToWordsConverter;0;1;3;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
GenderedNumberToWordsConverter;0;1;18;55;4;0;12;12;7;0;0;0;0;0;0;0;0;0;0;0
GenderlessNumberToWordsConverter;0;1;13;62;4;0;14;14;6;1;0;0;0;0;0;0;0;0;0;0
GermanNumberToWordsConverter;0;1;3;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
GermanNumberToWordsConverterBase;0;25;136;0;32;1;2;3;47;24;0;0;0;0;0;0;0;0;0;0
GermanSwissLiechtensteinNumberToWordsConverter;0;2;11;0;2;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0
HebrewNumberToWordsConverter;0;25;161;2;29;1;0;1;40;2;0;0;0;0;0;0;0;0;0;0
ItalianNumberToWordsConverter;0;4;22;0;5;1;0;3;9;1;0;0;0;0;0;0;0;0;0;0
ItalianCardinalNumberCruncher;0;24;201;28;31;0;0;2;21;14;0;0;0;0;0;0;0;0;0;0
ItalianOrdinalNumberCruncher;0;13;82;14;12;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0
MalteseNumberToWordsConvertor;0;37;190;0;43;1;0;1;30;17;0;0;0;0;0;0;0;0;0;0
NorwegianBokmalNumberToWordsConverter;0;37;154;0;42;1;0;1;38;10;0;0;0;0;0;0;0;0;0;0
PolishNumberToWordsConverter;0;21;112;5;24;1;0;1;23;6;0;0;0;0;0;0;0;0;0;0
RomanianNumberToWordsConverter;0;3;17;0;4;1;0;3;7;1;0;0;0;0;0;0;0;0;0;0
RomanianCardinalNumberConverter;0;30;233;27;40;0;0;2;36;17;0;0;0;0;0;0;0;0;0;0
RomanianOrdinalNumberConverter;0;29;113;6;30;0;0;2;32;0;0;0;0;0;0;0;0;0;0;0
RussianNumberToWordsConverter;0;47;229;0;55;1;0;2;60;22;0;0;0;0;0;0;0;0;0;0
SerbianCyrlNumberToWordsConverter;0;20;103;0;22;1;0;1;30;3;0;0;0;0;0;0;0;0;0;0
SerbianNumberToWordsConverter;0;20;103;0;22;1;0;1;30;3;0;0;0;0;0;0;0;0;0;0
SlovenianNumberToWordsConverter;0;21;111;0;23;1;0;1;31;3;0;0;0;0;0;0;0;0;0;0
SpanishNumberToWordsConverter;1;27;106;0;28;1;0;1;28;0;0;0;0;0;0;0;0;0;0;0
TurkishNumberToWordConverter;0;17;89;0;18;1;0;1;30;1;0;0;0;0;0;0;0;0;0;0
UkrainianNumberToWordsConverter;0;41;225;0;49;1;0;2;60;22;0;0;0;0;0;0;0;0;0;0
UzbekCyrlNumberToWordConverter;0;16;78;0;18;1;0;1;23;1;0;0;0;0;0;0;0;0;0;0
UzbekLatnNumberToWordConverter;0;16;78;0;18;1;0;1;23;1;0;0;0;0;0;0;0;0;0;0
DefaultOrdinalizer;0;1;11;0;2;0;10;10;3;0;0;0;0;0;0;0;0;0;0;0
DutchOrdinalizer;0;2;15;6;3;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0
EnglishOrdinalizer;0;7;22;0;7;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
GermanOrdinalizer;0;1;7;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
ItalianOrdinalizer;0;3;19;5;4;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0
PortugueseOrdinalizer;0;3;19;5;4;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0
RomanianOrdinalizer;0;5;27;12;6;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0
RussianOrdinalizer;0;3;19;0;4;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0
SpanishOrdinalizer;0;3;22;4;4;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0
TurkishOrdinalizer;0;1;7;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
UkrainianOrdinalizer;0;6;30;0;7;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0
ResourceKeys;0;2;12;0;2;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
ResourceKeys;0;4;23;46;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0
ResourceKeys;0;5;17;45;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
Resources;0;1;8;42;1;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0
MetricNumeralExtensions;0;21;118;51;32;0;0;0;69;45;1;1;2;0;0;0;0;0;0;0
NoMatchFoundException;0;1;14;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0
NumberToNumberExtensions;0;1;128;36;25;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0
NumberToTimeSpanExtensions;0;1;219;55;54;0;0;0;108;15;0;0;0;0;0;0;0;0;0;0
NumberToWordsExtension;0;1;27;71;6;0;0;1;16;1;0;0;0;0;0;0;0;0;0;0
OrdinalizeExtensions;0;1;35;63;8;0;0;1;28;0;0;0;0;0;0;0;0;0;0;0
RegexOptionsUtil;0;2;8;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0
RomanNumeralExtensions;0;11;79;12;13;0;0;1;19;1;0;0;0;0;0;0;0;0;0;0
StringDehumanizeExtensions;1;1;10;33;1;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0
StringExtensions;0;1;11;54;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
StringHumanizeExtensions;1;11;44;24;14;0;0;1;31;3;10;2;5;0;0;0;0;0;0;0
TimeSpanHumanizeExtensions;1;16;60;10;19;0;0;1;25;4;0;0;0;0;0;0;0;0;0;0
ToQuantityExtensions;0;5;45;59;11;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0
To;0;1;35;46;1;0;0;1;7;0;2;1;1;0;0;0;0;0;0;0
ToLowerCase;0;1;7;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
ToSentenceCase;0;2;11;0;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
ToTitleCase;1;5;28;0;6;0;0;0;15;1;0;0;0;0;0;0;0;0;0;0
ToUpperCase;0;1;7;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
TruncateExtensions;0;3;27;53;6;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0
FixedLengthTruncator;0;9;29;0;9;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
FixedNumberOfCharactersTruncator;1;14;33;0;14;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0
FixedNumberOfWordsTruncator;0;13;72;0;15;0;0;0;12;3;0;0;0;0;0;0;0;0;0;0
Truncator;0;1;24;27;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
TupleizeExtensions;0;14;35;12;14;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
