ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
AnalyzerEntityTreeNodeComparer;0;1;4;0;2;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0
AnalyzerService;0;57;244;0;75;0;0;3;107;184;2;3;6;0;0;0;5;0;0;0
AnalyzerSettings;0;5;55;0;3;1;1;3;17;3;0;0;0;0;0;0;0;0;0;0
AnalyzerSettingsImpl;0;2;26;0;2;2;0;3;21;0;0;0;0;0;0;0;0;0;0;0
AnalyzerToolWindowContent;0;2;17;0;3;1;0;4;6;0;0;0;0;0;0;0;0;0;0;0
AnalyzerToolWindowContentProvider;0;2;12;0;2;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0
AnalyzerTreeNodeData;0;17;95;1;22;1;2;30;46;66;0;0;0;0;0;0;0;0;0;0
AnalyzerTreeNodeDataContext;0;1;12;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
AndSearchComparer;0;7;28;0;6;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
AnnotationsImpl;0;4;16;0;7;0;0;1;9;0;5;1;1;0;0;0;0;0;0;0
AntiFlickerConstants;0;1;3;25;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
AnyDebugEventBreakpointConditionContext;0;1;10;0;0;1;0;8;1;0;0;0;0;0;0;0;0;0;0;0
AnyDebugEventBreakpointPauseState;0;1;5;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0
AnyTextStructureNavigator;0;11;34;10;15;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0
AnyTextStructureNavigatorProvider;0;1;9;0;1;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0
App;0;80;455;6;117;0;0;15;246;602;3;11;18;0;1;0;2;0;0;1
AppBamlResourceProjectFile;0;19;69;4;21;1;0;5;31;2;4;3;3;0;3;0;0;0;0;0
AppCommandLineArgs;0;45;204;0;17;0;0;0;41;9;0;1;1;0;0;0;0;0;0;0
AppCommandLineArgsHandler;0;19;72;0;21;0;0;0;32;0;2;2;2;0;0;0;2;0;0;0
