ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
DisassociatedEvent;0;1;17;37;1;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0
AssociationErrorEvent;0;1;25;52;2;2;0;1;5;1;0;0;0;0;0;0;0;0;0;0
RemotingListenEvent;0;1;17;46;2;1;0;1;7;1;5;1;1;0;0;0;0;0;0;0
RemotingShutdownEvent;0;1;11;15;2;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0
RemotingErrorEvent;0;1;16;48;2;1;0;1;4;1;0;0;0;0;0;0;0;0;0;0
QuarantinedEvent;0;1;22;46;2;1;0;1;4;1;0;0;0;0;0;0;0;0;0;0
ThisActorSystemQuarantinedEvent;0;1;18;51;2;1;0;1;4;1;0;0;0;0;0;0;0;0;0;0
EventPublisher;0;2;17;52;2;0;0;5;7;0;0;0;0;0;0;0;0;0;0;0
RemoteRouterConfig;1;9;86;48;15;2;0;3;43;36;0;0;0;0;0;0;0;0;0;0
ActorPathThreadLocalCache;0;1;13;0;2;1;0;4;6;1;7;1;1;0;0;0;0;0;0;0
ActorPathCache;0;2;20;0;4;1;0;3;6;3;0;0;0;0;0;0;0;0;0;0
ActorRefResolveThreadLocalCache;0;1;20;0;2;1;0;4;8;1;4;1;1;0;1;0;0;0;0;0
ActorRefResolveCache;0;1;20;0;3;1;0;3;6;3;0;0;0;0;0;0;0;0;0;0
AddressThreadLocalCache;0;1;17;0;2;1;0;5;7;1;5;1;1;0;0;0;0;0;0;0
AddressCache;0;2;23;0;4;1;0;3;6;1;0;0;0;0;0;0;0;0;0;0
DaemonMsgCreateSerializer;1;13;162;10;21;1;0;5;63;22;0;0;0;0;0;0;0;0;0;0
ExceptionSupport;0;7;166;1;12;0;0;4;46;13;0;0;0;0;0;0;0;0;0;0
FastHash;0;3;49;27;4;0;0;3;3;1;0;0;0;0;0;0;0;0;0;0
CacheStatistics;0;1;12;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
LruBoundedCache;0;24;189;8;28;0;0;1;46;6;0;1;1;0;0;0;0;0;0;0
MessageContainerSerializer;0;11;63;10;13;1;0;4;22;1;0;0;0;0;0;0;0;0;0;0
MiscMessageSerializer;0;86;397;13;122;2;0;18;186;446;0;0;0;0;0;0;0;0;0;0
PrimitiveSerializers;0;7;22;24;8;1;0;2;15;1;0;0;0;0;0;0;0;0;0;0
ProtobufSerializer;0;4;29;21;5;1;0;0;15;1;0;0;0;0;0;0;0;0;0;0
ContainerFormatsReflection;0;1;51;1;0;0;0;20;14;0;0;0;0;0;0;0;0;0;0;0
SelectionEnvelope;0;17;123;1;25;0;0;7;41;8;0;1;1;0;0;0;0;0;0;0
Selection;0;18;136;2;27;0;0;6;33;28;0;1;1;0;0;0;0;0;0;0
ActorRefData;0;12;99;1;21;0;0;14;28;28;1;1;1;0;0;0;0;0;0;0
AddressData;0;30;177;2;39;0;0;9;45;28;0;1;1;0;0;0;0;0;0;0
Payload;0;24;151;1;33;0;0;23;39;28;0;1;1;0;0;0;0;0;0;0
Identify;0;15;105;0;23;0;0;6;32;16;0;1;1;0;0;0;0;0;0;0
ActorIdentity;0;21;131;1;29;0;0;6;38;16;0;1;1;0;0;0;0;0;0;0
RemoteWatcherHeartbeatResponse;0;12;99;1;21;0;0;5;27;28;1;1;1;0;0;0;0;0;0;0
ExceptionData;0;41;227;2;49;0;0;11;67;16;0;1;1;0;0;0;0;0;0;0
SystemMessageFormatsReflection;0;1;44;2;0;0;0;15;12;0;0;0;0;0;0;0;0;0;0;0
CreateData;0;15;105;0;23;0;0;6;32;16;0;1;1;0;0;0;0;0;0;0
RecreateData;0;15;105;0;23;0;0;6;32;16;0;1;1;0;0;0;0;0;0;0
ResumeData;0;15;105;0;23;0;0;6;32;16;0;1;1;0;0;0;0;0;0;0
SuperviseData;0;21;131;1;29;0;0;6;36;16;0;1;1;0;0;0;0;0;0;0
WatchData;0;24;137;1;31;0;0;6;42;16;0;1;1;0;0;0;0;0;0;0
FailedData;0;30;163;1;37;0;0;7;47;16;0;1;1;0;0;0;0;0;0;0
DeathWatchNotificationData;0;27;157;1;35;0;0;6;40;16;0;1;1;0;0;0;0;0;0;0
WireFormatsReflection;0;1;94;1;0;0;0;33;21;0;0;0;0;0;0;0;0;0;0;0
AckAndEnvelopeContainer;0;24;137;1;31;0;0;7;42;16;0;1;1;0;0;0;0;0;0;0
RemoteEnvelope;0;39;195;2;45;0;0;8;56;16;0;1;1;0;0;0;0;0;0;0
AcknowledgementInfo;0;14;118;1;23;0;0;6;35;8;0;1;1;0;0;0;0;0;0;0
DaemonMsgCreateData;0;39;195;2;45;0;0;8;58;16;0;1;1;0;0;0;0;0;0;0
PropsData;0;29;205;6;37;0;0;7;74;8;0;1;1;0;0;0;0;0;0;0
DeployData;0;72;359;2;81;0;0;7;85;28;0;1;1;0;0;0;0;0;0;0
AkkaProtocolMessage;0;21;131;1;29;0;0;6;38;16;0;1;1;0;0;0;0;0;0;0
AkkaControlMessage;0;21;131;1;29;0;0;7;37;16;0;1;1;0;0;0;0;0;0;0
AkkaHandshakeInfo;0;27;157;1;35;0;0;7;42;16;0;1;1;0;0;0;0;0;0;0
RemoteScope;0;15;105;0;23;0;0;6;32;16;0;1;1;0;0;0;0;0;0;0
DefaultResizer;0;48;255;2;57;0;0;5;54;28;0;1;1;0;0;0;0;0;0;0
FromConfig;0;21;131;1;29;0;0;6;38;16;0;1;1;0;0;0;0;0;0;0
GenericRoutingPool;0;33;183;2;41;0;0;8;47;16;0;1;1;0;0;0;0;0;0;0
ScatterGatherPool;0;24;137;1;31;0;0;6;42;16;0;1;1;0;0;0;0;0;0;0
TailChoppingPool;0;33;169;1;39;0;0;6;52;16;0;1;1;0;0;0;0;0;0;0
RemoteRouterConfig;0;17;123;1;25;0;0;7;41;8;0;1;1;0;0;0;0;0;0;0
SystemMessageSerializer;0;23;162;17;41;1;0;13;114;113;0;0;0;0;0;0;0;0;0;0
WrappedPayloadSupport;0;6;40;4;7;0;0;5;17;0;0;0;0;0;0;0;0;0;0;0
PduCodecException;0;1;10;50;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Associate;0;1;8;46;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0
Disassociate;0;1;8;46;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
Heartbeat;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Payload;0;1;8;46;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
Message;0;1;17;60;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0
AckAndMessage;0;1;10;52;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0
AkkaPduCodec;0;6;35;60;14;0;1;17;15;36;0;0;0;0;0;0;0;0;0;0
AkkaPduProtobuffCodec;1;27;188;26;40;1;0;18;71;85;0;1;1;0;0;0;0;0;0;0
ProtocolTransportAddressPair;0;1;10;52;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0
AkkaProtocolException;0;1;10;50;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
AkkaProtocolTransport;0;2;51;42;2;3;0;15;17;1;1;1;1;0;1;0;0;0;0;0
AkkaProtocolManager;1;5;73;18;9;3;0;12;32;4;1;1;1;0;0;0;0;0;0;0
AssociateUnderlyingRefuseUid;0;1;12;55;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
HandshakeInfo;1;6;27;32;8;0;0;11;10;1;0;0;0;0;0;0;0;0;0;0
AkkaProtocolHandle;0;8;51;37;13;2;0;11;23;0;0;0;0;0;0;0;0;0;0;0
HeartbeatTimer;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
HandshakeTimer;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
HandleMsg;0;1;8;46;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
HandleListenerRegistered;0;1;8;46;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
ProtocolStateData;0;1;1;0;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0
InitialProtocolStateData;0;1;1;0;0;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0
OutboundUnassociated;0;1;12;55;0;2;0;4;1;0;0;0;0;0;0;0;0;0;0;0
OutboundUnderlyingAssociated;0;1;10;52;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0
InboundUnassociated;0;1;10;52;0;2;0;3;1;0;0;0;0;0;0;0;0;0;0;0
AssociatedWaitHandler;0;1;12;55;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0
ListenerReady;0;1;10;52;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0
TimeoutReason;1;1;12;40;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
ForbiddenUidReason;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ProtocolStateActor;1;68;474;22;85;3;0;30;237;99;46;24;415;0;34;0;102;0;0;23
AkkaLoggingHandler;0;12;172;0;31;1;0;0;123;0;0;0;0;0;0;0;0;0;0;0
CommonHandlers;0;4;56;1;9;1;1;4;20;5;9;1;6;0;0;0;1;0;0;0
DotNettyTransportException;0;1;11;47;0;3;0;1;2;0;0;0;0;0;0;0;0;0;0;0
DotNettyTransport;0;47;274;8;63;1;1;12;151;99;3;7;11;0;2;0;3;0;0;0
HeliosBackwardsCompatabilityLengthFramePrepender;0;1;17;5;1;3;0;0;9;0;0;0;0;0;0;0;0;0;0;0
DotNettyTransportSettings;0;20;131;38;23;0;0;5;62;6;0;0;0;0;0;0;0;0;0;0
SslSettings;0;15;84;7;15;0;0;4;34;1;1;1;1;0;0;0;0;0;0;0
TcpHandlers;0;7;56;12;12;2;2;5;26;11;0;0;0;0;0;0;0;0;0;0
TcpServerHandler;0;1;29;3;2;3;0;4;10;1;27;1;11;0;2;0;4;0;0;0
TcpClientHandler;0;1;22;0;2;3;0;5;8;1;0;0;0;0;0;0;0;0;0;0
TcpAssociationHandle;0;3;28;6;5;1;0;2;9;1;0;0;0;0;0;0;0;0;0;0
TcpTransport;0;12;60;1;14;2;0;3;24;3;0;0;0;0;0;0;0;0;0;0
FailureInjectorProvider;0;1;7;46;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
FailureInjectorException;0;1;14;46;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
FailureInjectorTransportAdapter;0;18;181;37;26;2;0;6;58;20;9;6;18;0;2;0;4;0;0;1
FailureInjectorHandle;0;3;34;33;5;2;0;3;11;1;12;1;5;0;1;0;0;0;0;1
