ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
ApiAuthenticationFailureEvent;0;1;13;45;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0
ApiAuthenticationSuccessEvent;0;1;14;54;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0
ClientAuthenticationFailureEvent;0;1;13;45;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0
ClientAuthenticationSuccessEvent;0;1;14;54;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0
ConsentDeniedEvent;0;1;16;60;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0
ConsentGrantedEvent;0;1;20;65;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0
DeviceAuthorizationFailureEvent;0;5;29;59;0;1;0;6;3;0;0;0;0;0;0;0;0;0;0;0
DeviceAuthorizationSuccessEvent;0;4;22;59;0;1;0;8;4;0;0;0;0;0;0;0;0;0;0;0
GrantsRevokedEvent;0;1;14;54;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0
Event;0;3;42;65;5;0;19;22;11;3;0;0;0;0;0;0;0;0;0;0
EventCategories;1;1;8;65;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0
EventIds;1;1;27;30;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0
InvalidClientConfigurationEvent;0;1;15;53;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0
TokenIntrospectionFailureEvent;0;4;28;53;0;1;0;3;3;0;0;0;0;0;0;0;0;0;0;0
TokenIntrospectionSuccessEvent;0;3;26;56;0;1;0;4;8;0;10;3;3;0;0;0;0;0;0;0
TokenIssuedFailureEvent;0;11;56;54;0;1;0;6;7;0;0;0;0;0;0;0;0;0;0;0
TokenIssuedSuccessEvent;0;11;88;47;0;1;0;9;25;0;0;0;0;0;0;0;0;0;0;0
TokenRevokedSuccessEvent;0;1;18;61;0;1;0;4;2;0;0;0;0;0;0;0;0;0;0;0
UnhandledExceptionEvent;0;1;13;43;0;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0
UserLoginFailureEvent;0;2;24;51;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0
UserLoginSuccessEvent;0;3;50;55;0;1;0;3;3;0;0;0;0;0;0;0;0;0;0;0
UserLogoutSuccessEvent;0;1;14;54;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0
ApiResourceExtensions;0;1;16;0;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0
AuthorizeResponseExtensions;0;10;48;0;10;0;0;1;21;0;0;0;0;0;0;0;0;0;0;0
ClaimsExtensions;0;14;71;0;15;0;0;1;18;1;0;0;0;0;0;0;0;0;0;0
ClientExtensions;0;4;10;23;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
DateTimeExtensions;0;4;32;0;7;0;0;0;6;3;0;0;0;0;0;0;0;0;0;0
DictionaryExtensions;0;4;21;0;4;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0
EndpointOptionsExtensions;0;11;27;3;11;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
HashExtensions;0;4;34;30;6;0;0;0;15;1;0;0;0;0;0;0;0;0;0;0
AuthenticationManagerExtensions;0;3;146;41;16;0;0;2;59;3;0;0;0;0;0;0;0;0;0;0
HttpContextExtensions;1;21;119;23;32;0;0;4;64;62;0;0;0;0;0;0;0;0;0;0
HttpRequestExtensions;0;3;13;23;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
HttpResponseExtensions;1;16;91;0;24;0;0;2;40;28;1;1;1;0;0;0;0;0;0;0
ICacheExtensions;0;6;26;39;6;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0
IClientStoreExtensions;0;3;9;40;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
IdentityServerToolsExtensions;0;7;36;21;7;0;0;2;18;0;0;0;0;0;0;0;0;0;0;0
IEnumerableExtensions;0;5;28;0;6;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0
IReadableStringCollectionExtensions;0;3;23;0;4;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0
IResourceStoreExtensions;0;5;70;26;10;0;0;1;52;15;14;12;12;0;0;0;0;0;0;0
NameValueCollectionExtensions;0;22;114;0;28;0;0;0;35;21;0;0;0;0;0;0;0;0;0;0
PrincipalExtensions;0;10;100;44;24;0;0;0;37;36;0;0;0;0;0;0;0;0;0;0
ProfileDataRequestContextExtensions;0;4;28;42;7;0;0;1;18;6;6;2;2;0;0;0;0;0;0;0
ResourceExtensions;0;5;53;30;9;0;0;1;15;6;3;2;2;0;0;0;0;0;0;0
ScopeExtensions;0;1;17;0;2;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0
StringExtensions;1;39;205;3;55;0;0;0;55;120;0;0;0;0;0;0;0;0;0;0
TokenExtensions;0;12;83;17;12;0;0;1;58;0;13;13;13;0;1;0;0;0;0;0
ValidatedAuthorizeRequestExtensions;0;9;87;1;17;0;0;2;40;34;5;5;5;0;1;0;0;0;0;0
BaseUrlMiddleware;1;2;20;0;2;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0
CorsMiddlewareExtensions;0;1;8;0;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
CorsPolicyProvider;0;6;72;2;9;0;0;5;23;0;1;1;1;0;0;0;0;0;0;0
Endpoint;0;1;12;60;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
EndpointRouter;0;6;49;0;7;0;0;6;14;0;0;0;0;0;0;0;0;0;0;0
AuthenticationRequestHandlerWrapper;0;10;65;5;15;0;1;1;28;0;0;0;0;0;0;0;0;0;0;0
AuthenticationRequestSignInHandlerWrapper;0;1;13;0;1;2;0;1;3;0;0;0;0;0;0;0;0;0;0;0
AuthenticationRequestSignOutHandlerWrapper;0;1;13;0;1;1;1;2;3;0;0;0;0;0;0;0;0;0;0;0
FederatedSignoutAuthenticationHandlerProvider;0;4;29;0;4;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0
IdentityServerAuthenticationService;0;21;123;6;29;0;0;7;64;10;0;0;0;0;0;0;0;0;0;0
IdentityServerMiddleware;0;4;36;29;4;0;0;3;15;0;0;0;0;0;0;0;0;0;0;0
LocalApiAuthenticationExtensions;0;1;30;50;5;0;0;3;15;0;37;4;18;0;4;0;0;0;0;0
LocalApiAuthenticationHandler;0;6;49;3;6;0;0;5;23;0;0;0;0;0;0;0;0;0;0;0
LocalApiAuthenticationOptions;0;1;5;54;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
MutualTlsTokenEndpointMiddleware;0;5;36;18;5;0;0;7;14;0;0;0;0;0;0;0;0;0;0;0
IdentityServerConstants;0;1;90;16;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0
IdentityServerPrincipal;0;8;84;38;13;0;0;2;44;0;0;0;0;0;0;0;0;0;0;0
IdentityServerTools;0;4;38;35;5;0;0;3;19;0;0;0;0;0;0;0;0;0;0;0
IdentityServerUser;0;8;41;39;7;0;0;2;32;0;0;0;0;0;0;0;0;0;0;0
BackChannelHttpClient;1;1;14;44;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0
DistributedCacheStateDataFormatter;0;4;49;37;7;0;0;2;22;1;0;0;0;0;0;0;0;0;0;0
MessageCookie;0;11;144;3;21;0;0;3;49;29;0;0;0;0;0;0;0;0;0;0
