ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
AddCommandParser;0;1;14;0;1;0;0;6;8;0;0;0;0;0;0;0;0;0;0;0
AddPackageParser;0;5;74;1;7;0;0;4;42;3;6;5;5;0;0;0;0;0;0;0
AddPackageReferenceCommand;0;10;110;6;12;1;0;4;47;8;0;1;1;0;0;0;0;0;0;0
AddProjectToProjectReferenceParser;0;1;18;0;1;0;0;5;11;0;5;1;1;0;0;0;0;0;0;0
AddProjectToProjectReferenceCommand;0;12;97;0;11;1;0;4;39;1;5;3;6;0;0;0;3;0;0;0
AddCommand;0;1;26;0;1;1;0;7;8;0;25;2;9;0;0;0;0;0;0;0
BuildServerCommand;0;1;18;0;1;1;0;4;5;0;14;1;3;0;0;0;0;0;0;0
BuildServerCommandParser;0;1;12;0;1;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0
BuildServerShutdownCommand;0;19;142;0;16;1;0;2;48;3;1;2;2;0;1;0;1;0;0;0
ServerShutdownCommandParser;0;1;22;0;1;0;0;3;9;0;0;0;0;0;0;0;0;0;0;0
BuildCommand;0;2;39;0;3;2;0;5;18;1;0;0;0;0;0;0;0;0;0;0
BuildCommandParser;0;1;37;0;1;0;0;6;25;0;2;1;1;0;0;0;0;0;0;0
CleanCommandParser;0;1;26;0;1;0;0;5;19;0;3;1;1;0;0;0;0;0;0;0
CleanCommand;0;1;27;0;2;1;0;5;14;1;0;0;0;0;0;0;0;0;0;0
CompleteCommand;0;6;47;4;8;0;0;2;16;3;2;1;1;0;0;0;0;0;0;0
CompleteCommandParser;0;1;12;0;1;0;0;1;10;0;7;1;1;0;0;0;0;0;0;0
ParseCommand;0;9;41;0;9;0;0;2;22;0;0;0;0;0;0;0;0;0;1;0
Suggest;0;6;44;0;11;0;0;5;23;15;2;1;1;0;0;0;0;0;0;0
FsiForwardingApp;0;1;12;0;1;1;0;1;4;0;0;0;0;0;0;0;0;0;0;0
FsiCommand;0;1;8;0;1;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0
HelpCommand;1;7;86;0;11;0;0;6;34;8;0;0;0;0;0;0;0;0;0;0
