ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
Throw;0;2;33;0;6;2;0;11;11;3;0;0;0;0;0;0;0;0;0;0
Rethrow;0;1;33;0;5;2;0;11;9;3;0;0;0;0;0;0;0;0;0;0
SizeOf;0;2;37;2;6;2;0;11;15;1;0;0;0;0;0;0;0;0;0;0
LdLen;0;8;76;0;17;1;0;11;22;16;0;0;0;0;0;0;0;0;0;0
LdElema;0;15;112;2;24;1;0;17;42;16;1;2;2;0;0;0;0;0;0;0
ArrayToPointer;0;8;89;0;18;1;0;12;29;16;0;0;0;0;0;0;0;0;0;0
StringToInt;0;8;77;0;17;1;0;12;22;16;0;0;0;0;0;0;0;0;0;0
MakeRefAny;0;3;40;2;7;2;0;11;19;1;0;0;0;0;0;0;0;0;0;0
RefAnyType;0;2;24;0;5;2;0;10;9;1;0;0;0;0;0;0;0;0;0;0
RefAnyValue;0;3;49;2;8;2;0;11;21;4;0;0;0;0;0;0;0;0;0;0
YieldReturn;0;8;89;0;18;1;0;12;29;16;0;0;0;0;0;0;0;0;0;0
Await;0;9;89;0;18;1;0;13;30;16;0;0;0;0;0;0;0;0;0;0
AnyNode;0;4;40;0;9;2;0;7;14;15;0;0;0;0;0;0;0;0;0;0
ILVisitor;0;1;296;0;74;0;4;154;147;2701;0;0;0;0;0;0;0;0;0;0
InstructionOutputExtensions;0;1;79;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
ILInstruction;0;51;543;0;100;0;57;229;50;1205;0;0;0;0;0;0;0;0;0;0
ComparisonKindExtensions;0;16;49;0;19;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0
Comp;0;11;83;7;12;2;0;23;36;0;0;0;0;0;0;0;0;0;0;0
BinaryNumericInstruction;0;32;118;20;32;2;0;19;32;4;0;0;0;0;0;0;0;0;0;0
Block;0;25;175;18;38;1;0;70;64;0;0;1;1;0;0;0;0;0;0;0
BlockContainer;0;52;252;6;64;1;0;56;101;22;1;3;3;0;0;0;0;0;0;0
Branch;0;14;74;7;11;2;0;34;22;0;0;0;0;0;0;0;0;0;0;0
CallInstruction;0;29;100;20;32;1;4;25;36;0;0;0;0;0;0;0;0;0;0;0
Call;0;2;12;29;0;2;0;24;2;0;0;0;0;0;0;0;0;0;0;0
CompoundAssignmentInstruction;0;5;24;4;5;1;0;15;2;0;0;0;0;0;0;0;0;0;0;0
NumericCompoundAssign;0;27;108;16;24;0;0;7;30;0;0;0;0;0;0;0;0;0;0;0
UserDefinedCompoundAssign;0;7;34;2;5;0;0;4;21;1;0;0;0;0;0;0;0;0;0;0
DynamicCompoundAssign;0;21;60;0;22;0;0;5;17;0;0;0;0;0;0;0;0;0;0;0
Conv;0;62;200;20;60;2;0;14;34;0;0;0;0;0;0;0;0;0;0;0
IfInstruction;0;17;88;3;21;1;0;32;42;9;0;0;0;0;0;0;0;0;0;0
ILFunction;1;27;164;15;29;1;0;71;69;13;1;3;3;0;2;0;0;0;0;0
ILInstruction;0;42;381;40;74;0;57;229;129;694;0;0;0;0;0;0;0;0;0;0
