ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
VideoOptions;0;1;5;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0
XmlAttribute;0;1;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DrawingUtils;0;9;42;35;11;0;0;1;10;3;0;0;0;0;0;0;0;0;0;0
BaseItemDto;1;1;153;74;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0
BaseItemPerson;0;1;10;70;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
ImageByNameInfo;0;1;8;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ImageInfo;0;1;10;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ImageOptions;0;1;22;74;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
ItemCounts;0;1;15;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ItemIndex;0;1;5;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MediaSourceInfo;0;30;173;2;32;0;1;9;9;8;0;0;0;0;0;0;0;0;0;0
MetadataEditorInfo;0;1;17;0;0;0;0;5;6;0;0;0;0;0;0;0;0;0;0;0
NameIdPair;0;1;5;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NameGuidPair;0;1;5;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
NameValuePair;1;1;13;38;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0
RecommendationDto;0;1;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
UserDto;0;1;26;68;1;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0
UserItemDataDto;0;1;14;75;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
