ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
ApiSymbolNames;0;1;23;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
SymbolApiConventionMatcher;0;29;144;7;33;0;0;1;28;2;0;0;0;0;0;0;0;0;0;0
SymbolApiResponseMetadataProvider;0;41;184;1;48;0;0;3;45;18;0;1;1;0;0;0;0;0;1;0
InvokeCommand;0;20;137;0;22;2;0;9;70;0;0;1;1;0;0;0;0;0;1;0
Exe;0;16;97;3;17;0;0;2;26;1;0;0;0;0;0;0;0;0;0;0
Program;0;4;29;0;4;0;0;5;10;0;0;0;0;0;0;0;0;0;0;0
ProjectOptions;0;4;33;0;5;0;0;4;17;1;0;0;0;0;0;0;0;0;0;0
Resources;1;3;102;45;17;0;0;6;52;105;0;0;0;0;0;0;0;0;0;0
AnsiConsole;0;1;6;0;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0
AnsiConstants;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AnsiTextWriter;0;18;93;0;24;0;0;1;31;19;0;0;0;0;0;0;0;0;0;0
CommandException;0;1;11;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0
CommandArgument;0;1;9;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
CommandLineApplication;0;71;492;4;93;0;0;11;168;233;2;14;14;0;0;0;3;0;1;0
CommandLineApplicationExtensions;0;3;12;0;3;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0
CommandOption;0;28;102;2;18;0;0;5;35;6;0;0;0;0;0;0;0;0;0;0
CommandParsingException;0;1;6;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0
CommandBase;0;1;23;0;3;0;1;5;12;3;30;1;10;0;0;0;3;0;0;0
HelpCommandBase;0;1;9;0;1;1;1;4;4;0;0;0;0;0;0;0;0;0;0;0
ProductInfo;0;1;8;0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0
Reporter;0;5;40;0;12;0;0;5;28;16;11;5;5;0;0;0;0;0;0;0
HostFactoryResolver;0;13;87;3;20;0;0;1;41;28;17;4;18;0;0;0;9;0;0;0
GetDocumentCommand;0;8;110;4;10;3;0;8;36;0;14;3;19;0;0;0;7;0;0;0
GetDocumentCommandContext;0;1;9;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
GetDocumentCommandWorker;0;27;231;2;32;0;0;5;76;13;0;0;0;0;0;0;0;0;1;0
ProjectCommandBase;0;4;29;0;5;2;1;5;16;1;0;0;0;0;0;0;0;0;0;0
CSharpIdentifier;0;12;37;11;15;0;0;1;16;6;0;0;0;0;0;0;0;0;0;0
GetCurrentItems;0;1;12;36;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0
GetFileReferenceMetadata;0;12;77;22;12;1;0;3;38;0;0;0;0;0;0;0;0;0;0;0
MetadataSerializer;0;13;92;17;17;0;0;2;42;8;0;0;0;0;0;0;0;0;0;0
HtmlContentBuilder;0;17;134;20;23;0;0;0;42;21;0;0;0;0;0;0;0;0;0;0
HtmlContentBuilderExtensions;0;14;113;39;22;0;0;1;52;8;0;0;0;0;0;0;0;0;0;0
HtmlFormattableString;0;14;111;22;4;0;0;1;36;4;0;0;0;0;0;0;0;0;0;0
HtmlString;0;3;26;36;4;0;0;4;10;1;0;0;0;0;0;0;0;0;0;0
BindingAddress;0;19;127;3;21;0;0;2;34;4;0;0;0;0;0;0;0;0;0;0
ApplicationBuilder;0;5;80;2;9;0;0;2;23;8;18;1;18;0;0;0;4;0;0;0
DefaultHttpContext;0;7;131;3;7;1;0;11;41;1;5;7;7;0;0;0;0;0;0;0
DefaultHttpContextFactory;0;5;42;6;7;0;0;2;11;1;0;0;0;0;0;0;0;0;0;0
HttpRequestRewindExtensions;0;1;19;75;4;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0
HttpAuthenticationFeature;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DefaultSessionFeature;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FormFeature;1;39;247;8;43;0;0;4;82;32;0;1;1;0;0;0;0;0;0;0
FormOptions;0;1;18;70;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0
HttpConnectionFeature;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HttpRequestFeature;0;1;24;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
HttpRequestIdentifierFeature;0;2;41;10;1;0;0;0;5;0;30;1;18;0;1;0;13;0;0;0
HttpRequestLifetimeFeature;0;1;7;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
HttpResponseFeature;0;1;23;0;2;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0
ItemsFeature;0;1;8;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
QueryFeature;0;10;71;1;0;0;0;1;13;0;1;1;1;0;0;0;0;0;0;0
RequestBodyPipeFeature;0;4;32;0;0;0;0;0;7;0;13;1;5;0;0;0;0;0;0;0
RequestCookiesFeature;0;12;73;1;0;0;0;1;17;0;1;1;1;0;0;0;0;0;0;0
RequestServicesFeature;0;6;62;3;5;0;0;2;14;1;0;0;0;0;0;0;0;0;0;0
ResponseBodyPipeFeature;0;4;32;0;0;0;0;0;7;0;13;1;5;0;0;0;0;0;0;0
ResponseCookiesFeature;0;3;31;35;0;0;0;0;7;0;3;1;1;0;0;0;0;0;0;0
RouteValuesFeature;0;2;16;20;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
ServiceProvidersFeature;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TlsConnectionFeature;0;1;8;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
FormCollection;0;16;149;21;13;0;0;3;25;13;0;0;0;0;0;0;0;0;0;0
FormFile;0;3;54;36;5;0;0;1;13;1;0;0;0;0;0;0;0;0;0;0
FormFileCollection;0;5;27;10;6;1;0;1;7;0;0;0;0;0;0;0;0;0;0;0
HeaderDictionary;0;38;285;21;36;0;0;0;69;76;0;0;0;0;0;0;0;0;0;0
HttpContextAccessor;0;4;27;10;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
HttpContextFactory;0;7;63;0;7;0;0;2;15;1;0;0;0;0;0;0;0;0;0;0
HttpServiceCollectionExtensions;0;2;12;29;2;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0
BufferingHelper;0;6;39;0;7;0;0;2;12;0;0;0;0;0;0;0;0;0;0;0
DefaultConnectionInfo;0;1;65;2;4;1;0;1;13;1;2;2;2;0;0;0;0;0;0;0
DefaultHttpRequest;0;2;143;0;4;1;0;5;27;1;4;6;6;0;2;0;0;0;0;0
DefaultHttpResponse;0;7;131;0;12;1;0;2;27;13;2;4;4;0;0;0;0;0;0;0
DefaultWebSocketManager;0;3;53;1;5;1;0;1;14;1;3;2;2;0;0;0;0;0;0;0
ItemsDictionary;0;18;119;3;23;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0
ReferenceReadStream;0;9;121;2;15;2;0;2;33;37;0;0;0;0;0;0;0;0;0;0
RequestCookieCollection;0;21;176;10;18;0;0;3;33;19;0;0;0;0;0;0;0;0;0;0
ResponseCookies;0;11;98;8;13;0;0;0;41;0;6;3;7;0;0;0;0;0;0;0
MiddlewareFactory;0;1;15;21;2;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0
QueryCollection;0;16;150;19;13;0;0;3;27;13;0;0;0;0;0;0;0;0;0;0
RequestFormReaderExtensions;0;6;26;25;6;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0
CopyOnWriteDictionary;0;4;123;0;11;0;0;0;28;28;0;0;0;0;0;0;0;0;0;0
ValueTaskExtensions;0;2;16;11;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
AspNetCoreTempDirectory;0;3;22;12;0;0;0;1;4;0;4;1;1;0;0;0;0;0;0;0
CORSLoggerExtensions;0;1;105;0;11;0;0;0;45;55;0;0;0;0;0;0;0;0;0;0
CorsPolicyMetadata;0;1;8;27;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
CorsServiceCollectionExtensions;0;4;28;28;5;0;0;3;15;0;0;0;0;0;0;0;0;0;0;0
DisableCorsAttribute;0;1;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
