ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
TelemetryMetric;0;1;13;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0
TrainerExtensions;0;1;8;66;2;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0
NodeKeys;0;1;11;70;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
TrainContext;0;1;18;61;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0
TrainerInfo;0;1;24;64;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
PublicKey;0;1;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
InternalPublicKey;0;1;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ArrayUtils;0;16;61;25;20;0;0;3;20;6;0;0;0;0;0;0;0;0;0;0
BigArray;0;44;318;23;50;0;0;3;148;0;0;0;0;0;0;0;0;0;0;0
BinFinderBase;0;38;203;13;43;0;2;6;57;4;0;0;0;0;0;0;0;0;0;0
GreedyBinFinder;0;28;187;14;35;1;0;5;64;4;1;2;2;0;0;0;0;0;0;0
DynamicBinFinder;0;29;164;18;31;1;0;4;38;1;0;0;0;0;0;0;0;0;0;0
Utils;0;24;178;3;42;0;0;31;32;58;0;0;0;0;0;0;0;0;0;0
CharUtils;0;3;35;0;6;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0
CmdIndenter;0;11;52;24;12;0;0;3;20;1;0;0;0;0;0;0;0;0;0;0
Contracts;1;83;731;16;260;0;0;69;530;982;0;0;0;0;0;0;0;0;0;0
DoubleParser;0;118;733;27;123;0;0;5;60;4;0;0;0;0;0;0;0;0;0;0
FixedSizeQueue;0;4;118;0;11;0;0;5;36;0;0;0;0;0;0;0;0;0;0;0
FloatUtils;0;49;535;10;33;0;0;6;104;0;0;0;0;0;0;0;0;0;0;0
HashArray;0;22;176;21;29;0;0;3;72;26;0;0;0;0;0;0;0;0;0;0
Hashing;0;17;179;26;31;0;0;9;66;43;0;0;0;0;0;0;0;0;0;0
Heap;0;11;125;20;19;0;0;2;51;3;0;0;0;0;0;0;0;0;0;0
HeapNode;0;14;177;17;0;0;0;4;86;0;0;0;0;0;0;0;0;0;0;0
HybridMemoryStream;0;22;168;14;31;0;0;5;89;0;0;0;0;0;0;0;0;0;0;0
IndentedTextWriterExtensions;0;1;34;0;4;0;0;1;10;10;0;0;0;0;0;0;0;0;0;0
LineParser;0;12;46;11;13;0;0;2;15;1;0;0;0;0;0;0;0;0;0;0
LruCache;0;3;41;26;4;0;0;2;21;0;2;1;1;0;0;0;0;0;0;0
MathUtils;0;99;529;27;140;0;0;5;179;654;2;2;11;0;0;0;6;0;0;0
MatrixTransposeOps;0;19;155;27;22;0;0;2;55;0;42;18;113;0;24;0;104;0;0;7
MinWaiter;0;4;56;37;6;0;0;2;21;0;1;1;1;0;0;0;0;0;0;0
NormStr;0;28;200;11;1;0;0;7;88;5;0;0;0;0;0;0;0;0;0;0
ObjectPool;0;1;8;0;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0
MadeObjectPool;0;1;13;0;1;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0
ObjectPoolBase;0;2;24;0;4;0;0;0;9;1;0;0;0;0;0;0;0;0;0;0
OrderedWaiter;0;13;79;35;15;0;0;2;24;0;2;2;2;0;0;0;0;0;0;0
Utils;0;16;84;31;17;0;0;31;25;3;0;0;0;0;0;0;0;0;0;0
PlatformUtils;0;4;25;0;6;0;0;2;10;3;0;0;0;0;0;0;0;0;0;0
RandomUtils;0;7;55;8;14;0;0;5;25;3;0;0;0;0;0;0;0;0;0;0
TauswortheHybrid;0;6;154;3;21;0;0;5;69;114;0;0;0;0;0;0;0;0;0;0
ReservoirSamplerWithoutReplacement;0;8;48;11;9;0;0;2;16;0;0;0;0;0;0;0;0;0;0;0
ReservoirSamplerWithReplacement;0;14;92;15;16;0;0;3;25;0;2;2;2;0;0;0;0;0;0;0
ResourceManagerUtils;0;33;226;15;41;0;0;4;90;45;3;4;8;0;0;0;3;0;0;0
