ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
AppDomainOperationExecutor;0;4;75;0;4;1;0;5;19;1;0;0;0;0;0;0;0;0;0;0
ArrayStructuralComparer;1;2;10;23;0;2;0;0;4;0;9;1;1;0;0;0;0;0;0;0
ChangeTracker;1;6;139;60;17;0;0;22;48;55;9;4;14;0;2;0;0;0;0;0
CollectionEntry;0;9;67;49;15;2;1;13;29;21;0;0;0;0;0;0;0;0;0;0
CollectionEntry;0;2;33;52;3;3;0;5;11;1;0;0;0;0;0;0;0;0;0;0
EntityEntry;1;15;154;56;25;0;1;61;99;78;4;6;8;0;0;0;0;0;0;0
EntityEntryEventArgs;0;1;12;42;0;0;2;6;2;0;0;0;0;0;0;0;0;0;0;0
EntityEntryGraphNode;1;2;34;49;1;0;1;10;14;0;0;0;0;0;0;0;0;0;0;0
EntityEntryGraphNode;0;1;29;38;1;1;0;7;10;0;0;0;0;0;0;0;0;0;0;0
EntityEntry;0;3;62;51;9;1;0;6;39;6;0;0;0;0;0;0;0;0;0;0
EntityStateChangedEventArgs;0;1;15;44;0;1;0;6;1;0;0;0;0;0;0;0;0;0;0;0
EntityTrackedEventArgs;0;1;12;42;0;1;0;6;1;0;0;0;0;0;0;0;0;0;0;0
GeometryValueComparer;1;3;39;7;5;2;0;0;20;3;0;0;0;0;0;0;0;0;0;0
ArrayPropertyValues;1;11;97;38;17;1;0;7;55;0;0;0;0;0;0;0;0;0;0;0
ChangeDetector;1;51;227;18;61;0;0;13;84;8;0;1;1;0;0;0;0;0;0;0
ChangeTrackerFactory;0;1;23;34;1;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0
CompositeNullableValueFactory;0;1;9;57;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0
CompositePrincipalKeyValueFactory;1;7;51;54;15;1;0;4;24;36;10;6;6;0;0;0;0;0;0;0
CompositeValueFactory;0;22;158;26;13;0;2;5;52;34;5;9;9;0;0;0;0;0;0;0
CurrentPropertyValues;0;1;15;66;4;2;0;3;9;3;0;0;0;0;0;0;0;0;0;0
DependentKeyValueFactoryFactory;1;6;31;36;8;0;0;3;20;3;0;0;0;0;0;0;0;0;0;0
DependentsMap;0;16;85;30;21;0;0;2;33;0;0;0;0;0;0;0;0;0;0;0
DependentsMapFactoryFactory;0;1;15;28;2;1;0;5;11;1;6;1;1;0;0;0;2;0;0;0
EmptyShadowValuesFactoryFactory;1;1;14;72;5;1;0;2;9;10;0;0;0;0;0;0;0;0;0;0
EntityEntryGraphIterator;1;11;80;13;12;0;0;3;28;1;0;0;0;0;0;0;0;0;0;0
EntityGraphAttacher;1;9;70;22;12;0;0;3;13;2;0;0;0;0;0;0;0;0;0;0
EntityReferenceMap;0;105;382;10;112;0;0;10;49;0;0;0;0;0;0;0;0;0;0;0
EntryPropertyValues;1;8;65;48;13;1;2;8;36;10;1;1;1;0;0;0;0;0;0;0
IdentityMap;1;48;252;32;65;0;0;5;102;2;0;0;0;0;0;0;0;0;0;0
IdentityMapFactoryFactory;0;2;16;27;3;1;0;5;12;1;11;2;2;0;0;0;2;0;0;0
IdentityMapFactoryFactoryBase;0;2;5;54;2;0;2;3;2;0;0;0;0;0;0;0;0;0;0;0
InternalClrEntityEntry;0;1;12;50;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0
InternalEntityEntry;1;217;1046;27;264;0;3;75;406;1097;1;10;15;0;3;0;1;0;0;0
InternalEntityEntryFactory;0;5;30;28;8;0;0;2;17;1;0;0;0;0;0;0;0;0;0;0
InternalEntityEntryNotifier;1;1;53;50;8;0;0;3;19;0;0;0;0;0;0;0;0;0;0;0
InternalEntityEntrySubscriber;0;12;89;11;16;0;0;3;35;8;2;2;2;0;0;0;0;0;0;0
InternalMixedEntityEntry;1;11;85;44;19;1;0;3;46;16;0;0;0;0;0;0;0;0;0;0
InternalShadowEntityEntry;1;4;58;53;12;1;0;3;32;16;0;0;0;0;0;0;0;0;0;0
